59.25986	-34.37747	-49.99066	-19.53101	-28.99307	-11.38339	-17.87039	-13.88571	-12.72949	-19.5459	-12.54977	-6.824127	-15.84503	-8.747742	2.768464	-13.01181	-6.124939	-22.6615
59.25048	-34.41745	-49.99054	-19.51819	-29.0014	-11.37457	-17.86282	-13.88437	-12.73508	-19.53976	-12.54245	-6.823212	-15.84772	-8.738892	2.800343	-13.00439	-6.120453	-22.69913
59.24573	-34.43622	-49.99088	-19.513	-29.00562	-11.37057	-17.86096	-13.88489	-12.73688	-19.53983	-12.54074	-6.822845	-15.85083	-8.736755	2.813679	-13.00357	-6.120575	-22.71652
59.24099	-34.45465	-49.99097	-19.50787	-29.00977	-11.36664	-17.85913	-13.88547	-12.73865	-19.53989	-12.53906	-6.822479	-15.85388	-8.73465	2.82674	-13.00275	-6.120667	-22.73389
59.2359	-34.47351	-49.99063	-19.50259	-29.01407	-11.36246	-17.85724	-13.88602	-12.74045	-19.53995	-12.53732	-6.822113	-15.85703	-8.732483	2.839999	-13.00189	-6.120789	-22.75229
59.22958	-34.49448	-49.98898	-19.49661	-29.01892	-11.35745	-17.8551	-13.88666	-12.74237	-19.54001	-12.53537	-6.821808	-15.8606	-8.730011	2.854456	-13.00095	-6.120941	-22.77478
59.22158	-34.53183	-49.99765	-19.49222	-29.02875	-11.34964	-17.85376	-13.88693	-12.74554	-19.54718	-12.53812	-6.821655	-15.86417	-8.72995	2.864143	-13.00076	-6.123199	-22.79785
59.21467	-34.55811	-50.00079	-19.4884	-29.03564	-11.34351	-17.85254	-13.88724	-12.74771	-19.55161	-12.53946	-6.821594	-15.867	-8.729462	2.871966	-13.00046	-6.124603	-22.81854
59.20687	-34.5874	-50.00406	-19.48413	-29.04343	-11.33658	-17.85117	-13.88757	-12.75009	-19.55655	-12.54095	-6.821472	-15.87021	-8.728912	2.880634	-13.00012	-6.12616	-22.84207
59.19972	-34.61334	-50.00641	-19.48032	-29.05035	-11.3302	-17.84995	-13.88788	-12.75214	-19.56097	-12.54227	-6.821381	-15.87305	-8.728394	2.888194	-12.99985	-6.127594	-22.86389
59.19177	-34.63998	-50.00748	-19.47635	-29.05762	-11.32321	-17.84863	-13.88821	-12.75409	-19.56561	-12.54367	-6.821198	-15.87604	-8.727875	2.895639	-12.99954	-6.129059	-22.88861
59.1842	-34.67334	-50.02136	-19.45221	-29.04779	-11.31476	-17.84247	-13.88782	-12.75583	-19.56857	-12.54065	-6.818542	-15.88019	-8.722473	2.896531	-13.00226	-6.131042	-22.91272
59.17601	-34.7027	-50.02856	-19.43503	-29.04349	-11.30637	-17.83801	-13.88766	-12.75723	-19.57196	-12.53906	-6.81662	-15.88385	-8.71875	2.898653	-13.004	-6.132782	-22.93945
59.1689	-34.72739	-50.03403	-19.42047	-29.03986	-11.29907	-17.8342	-13.88754	-12.7583	-19.57483	-12.53772	-6.814941	-15.88696	-8.715546	2.900275	-13.00543	-6.134277	-22.96298
59.16124	-34.75195	-50.03799	-19.40567	-29.03616	-11.29117	-17.83032	-13.88742	-12.75906	-19.57776	-12.53635	-6.813049	-15.89011	-8.712372	2.901473	-13.00693	-6.135773	-22.98911
